	world	node	child	value	prob	N	hash	dv_0.7	dv_0.71	dv_0.72	dv_0.73	dv_0.74	dv_0.75	dv_0.76	dv_0.77	dv_0.78	dv_0.79	dv_0.8	dv_0.81	dv_0.82	dv_0.83	dv_0.84	dv_0.85	dv_0.86	dv_0.87	dv_0.88	dv_0.89	dv_0.9	dv_0.91	dv_0.92	dv_0.93	dv_0.94	dv_0.95	dv_0.96	dv_0.97	dv_0.98	dv_0.99
192	ikea	N9299941	N1515191	27.3	0.0	1	ikea N9299941	23.4	23.53	23.66	23.79	23.92	24.05	24.18	24.31	24.44	24.57	24.7	24.83	24.96	25.09	25.22	25.35	25.48	25.61	25.74	25.87	26.0	26.13	26.26	26.39	26.52	26.65	26.78	26.91	27.04	27.17
172	ikea	N5268104	N386561	23.5	1.0	2	ikea N5268104	22.2	22.243	22.287	22.33	22.373	22.417	22.46	22.503	22.547	22.59	22.633	22.677	22.72	22.763	22.807	22.85	22.893	22.937	22.98	23.023	23.067	23.11	23.153	23.197	23.24	23.283	23.327	23.37	23.413	23.457
173	ikea	N5268104	N7542936	26.5	0.0	2	ikea N5268104	21.0	21.183	21.367	21.55	21.733	21.917	22.1	22.283	22.467	22.65	22.833	23.017	23.2	23.383	23.567	23.75	23.933	24.117	24.3	24.483	24.667	24.85	25.033	25.217	25.4	25.583	25.767	25.95	26.133	26.317
143	lab	N7839123	N6747577	22.142857	0.7	20	lab N7839123	16.1	16.301	16.503	16.704	16.906	17.107	17.309	17.51	17.711	17.913	18.114	18.316	18.517	18.719	18.92	19.121	19.323	19.524	19.726	19.927	20.129	20.33	20.531	20.733	20.934	21.136	21.337	21.539	21.74	21.941
142	lab	N7839123	N3878758	21.857143	0.3	20	lab N7839123	16.543	16.72	16.897	17.074	17.251	17.429	17.606	17.783	17.96	18.137	18.314	18.491	18.669	18.846	19.023	19.2	19.377	19.554	19.731	19.909	20.086	20.263	20.44	20.617	20.794	20.971	21.149	21.326	21.503	21.68
207	lab	N9798875	N8488385	31.2	0.0	5	lab N9798875	25.02	25.226	25.432	25.638	25.844	26.05	26.256	26.462	26.668	26.874	27.08	27.286	27.492	27.698	27.904	28.11	28.316	28.522	28.728	28.934	29.14	29.346	29.552	29.758	29.964	30.17	30.376	30.582	30.788	30.994
208	lab	N239923	N1797478	28.833332000000002	0.2941176471	17	lab N239923	25.683	25.788	25.893	25.998	26.103	26.208	26.313	26.418	26.523	26.628	26.733	26.838	26.943	27.048	27.153	27.258	27.363	27.468	27.573	27.678	27.783	27.888	27.993	28.098	28.203	28.308	28.413	28.518	28.623	28.728
209	lab	N239923	N9684539	30.166664	0.7058823529000001	17	lab N239923	23.867	24.077	24.287	24.497	24.707	24.917	25.127	25.337	25.547	25.757	25.967	26.177	26.387	26.597	26.807	27.017	27.227	27.437	27.647	27.857	28.067	28.277	28.487	28.697	28.907	29.117	29.327	29.537	29.747	29.957
210	lab	N3936820	N4841925	28.833332000000002	0.2666666667	30	lab N3936820	25.683	25.788	25.893	25.998	26.103	26.208	26.313	26.418	26.523	26.628	26.733	26.838	26.943	27.048	27.153	27.258	27.363	27.468	27.573	27.678	27.783	27.888	27.993	28.098	28.203	28.308	28.413	28.518	28.623	28.728
211	lab	N3936820	N7852858	30.166664	0.7333333333	30	lab N3936820	23.867	24.077	24.287	24.497	24.707	24.917	25.127	25.337	25.547	25.757	25.967	26.177	26.387	26.597	26.807	27.017	27.227	27.437	27.647	27.857	28.067	28.277	28.487	28.697	28.907	29.117	29.327	29.537	29.747	29.957
212	lab	N1930098	N1501992	29.0	0.8888888889	9	lab N1930098	24.125	24.288	24.45	24.612	24.775	24.938	25.1	25.263	25.425	25.588	25.75	25.912	26.075	26.237	26.4	26.562	26.725	26.888	27.05	27.212	27.375	27.538	27.7	27.862	28.025	28.188	28.35	28.512	28.675	28.838
164	lab	N63617	N242960	23.7	0.0	17	lab N63617	18.69	18.857	19.024	19.191	19.358	19.525	19.692	19.859	20.026	20.193	20.36	20.527	20.694	20.861	21.028	21.195	21.362	21.529	21.696	21.863	22.03	22.197	22.364	22.531	22.698	22.865	23.032	23.199	23.366	23.533
144	lab	N7839123	N4211456	25.0	0.0	20	lab N7839123	19.0	19.2	19.4	19.6	19.8	20.0	20.2	20.4	20.6	20.8	21.0	21.2	21.4	21.6	21.8	22.0	22.2	22.4	22.6	22.8	23.0	23.2	23.4	23.6	23.8	24.0	24.2	24.4	24.6	24.8
214	lab	N5408887	N441665	31.2	0.0	1	lab N5408887	25.02	25.226	25.432	25.638	25.844	26.05	26.256	26.462	26.668	26.874	27.08	27.286	27.492	27.698	27.904	28.11	28.316	28.522	28.728	28.934	29.14	29.346	29.552	29.758	29.964	30.17	30.376	30.582	30.788	30.994
179	lab	N5745806	N7444307	25.11111	0.0322580645	31	lab N5745806	18.878	19.086	19.293	19.501	19.709	19.917	20.124	20.332	20.54	20.748	20.956	21.163	21.371	21.579	21.787	21.994	22.202	22.41	22.618	22.826	23.033	23.241	23.449	23.657	23.864	24.072	24.28	24.488	24.696	24.903
190	lab	N3878758	N3706462	27.2	0.0	6	lab N3878758	21.62	21.806	21.992	22.178	22.364	22.55	22.736	22.922	23.108	23.294	23.48	23.666	23.852	24.038	24.224	24.41	24.596	24.782	24.968	25.154	25.34	25.526	25.712	25.898	26.084	26.27	26.456	26.642	26.828	27.014
189	lab	N3878758	N8861539	25.6	0.0	6	lab N3878758	19.0	19.22	19.44	19.66	19.88	20.1	20.32	20.54	20.76	20.98	21.2	21.42	21.64	21.86	22.08	22.3	22.52	22.74	22.96	23.18	23.4	23.62	23.84	24.06	24.28	24.5	24.72	24.94	25.16	25.38
188	lab	N3878758	N6463419	24.8	1.0	6	lab N3878758	18.32	18.536	18.752	18.968	19.184	19.4	19.616	19.832	20.048	20.264	20.48	20.696	20.912	21.128	21.344	21.56	21.776	21.992	22.208	22.424	22.64	22.856	23.072	23.288	23.504	23.72	23.936	24.152	24.368	24.584
215	lab	N5408887	N5399461	34.0	1.0	1	lab N5408887	27.34	27.562	27.784	28.006	28.228	28.45	28.672	28.894	29.116	29.338	29.56	29.782	30.004	30.226	30.448	30.67	30.892	31.114	31.336	31.558	31.78	32.002	32.224	32.446	32.668	32.89	33.112	33.334	33.556	33.778
213	lab	N1930098	N2539902	33.0	0.11111111109999999	9	lab N1930098	25.2	25.46	25.72	25.98	26.24	26.5	26.76	27.02	27.28	27.54	27.8	28.06	28.32	28.58	28.84	29.1	29.36	29.62	29.88	30.14	30.4	30.66	30.92	31.18	31.44	31.7	31.96	32.22	32.48	32.74
206	lab	N9798875	N5984201	28.0	1.0	5	lab N9798875	22.42	22.606	22.792	22.978	23.164	23.35	23.536	23.722	23.908	24.094	24.28	24.466	24.652	24.838	25.024	25.21	25.396	25.582	25.768	25.954	26.14	26.326	26.512	26.698	26.884	27.07	27.256	27.442	27.628	27.814
178	lab	N5745806	N9798875	24.222223	0.0	31	lab N5745806	19.556	19.711	19.867	20.022	20.178	20.333	20.489	20.644	20.8	20.956	21.111	21.267	21.422	21.578	21.733	21.889	22.044	22.2	22.356	22.511	22.667	22.822	22.978	23.133	23.289	23.444	23.6	23.756	23.911	24.067
202	lab	N7646124	N1142105	28.285713	0.0	17	lab N7646124	24.171	24.309	24.446	24.583	24.72	24.857	24.994	25.131	25.269	25.406	25.543	25.68	25.817	25.954	26.091	26.229	26.366	26.503	26.64	26.777	26.914	27.051	27.189	27.326	27.463	27.6	27.737	27.874	28.011	28.149
166	lab	N63617	N6241308	24.5	0.0	17	lab N63617	18.2	18.41	18.62	18.83	19.04	19.25	19.46	19.67	19.88	20.09	20.3	20.51	20.72	20.93	21.14	21.35	21.56	21.77	21.98	22.19	22.4	22.61	22.82	23.03	23.24	23.45	23.66	23.87	24.08	24.29
194	lab	N2601690	N7646124	26.249997999999998	0.8947368420999999	19	lab N2601690	19.05	19.29	19.53	19.77	20.01	20.25	20.49	20.73	20.97	21.21	21.45	21.69	21.93	22.17	22.41	22.65	22.89	23.13	23.37	23.61	23.85	24.09	24.33	24.57	24.81	25.05	25.29	25.53	25.77	26.01
163	lab	N63617	N5745806	22.9	1.0	17	lab N63617	16.36	16.578	16.796	17.014	17.232	17.45	17.668	17.886	18.104	18.322	18.54	18.758	18.976	19.194	19.412	19.63	19.848	20.066	20.284	20.502	20.72	20.938	21.156	21.374	21.592	21.81	22.028	22.246	22.464	22.682
162	lab	N3633749	N9447532	23.777779000000002	0.0	13	lab N3633749	17.811	18.01	18.209	18.408	18.607	18.806	19.004	19.203	19.402	19.601	19.8	19.999	20.198	20.397	20.596	20.794	20.993	21.192	21.391	21.59	21.789	21.988	22.187	22.386	22.584	22.783	22.982	23.181	23.38	23.579
161	lab	N3633749	N2601690	23.777779000000002	1.0	13	lab N3633749	17.044	17.269	17.493	17.718	17.942	18.167	18.391	18.616	18.84	19.064	19.289	19.513	19.738	19.962	20.187	20.411	20.636	20.86	21.084	21.309	21.533	21.758	21.982	22.207	22.431	22.656	22.88	23.104	23.329	23.553
160	lab	N3633749	N752499	23.777777	0.0	13	lab N3633749	17.111	17.333	17.556	17.778	18.0	18.222	18.444	18.667	18.889	19.111	19.333	19.556	19.778	20.0	20.222	20.444	20.667	20.889	21.111	21.333	21.556	21.778	22.0	22.222	22.444	22.667	22.889	23.111	23.333	23.556
193	lab	N2601690	N1930098	25.25	0.052631578899999996	19	lab N2601690	20.9	21.045	21.19	21.335	21.48	21.625	21.77	21.915	22.06	22.205	22.35	22.495	22.64	22.785	22.93	23.075	23.22	23.365	23.51	23.655	23.8	23.945	24.09	24.235	24.38	24.525	24.67	24.815	24.96	25.105
174	lab	N6747577	N7985505	23.5	1.0	14	lab N6747577	17.2	17.41	17.62	17.83	18.04	18.25	18.46	18.67	18.88	19.09	19.3	19.51	19.72	19.93	20.14	20.35	20.56	20.77	20.98	21.19	21.4	21.61	21.82	22.03	22.24	22.45	22.66	22.87	23.08	23.29
175	lab	N6747577	N1618589	25.5	0.0	14	lab N6747577	19.7	19.893	20.087	20.28	20.473	20.667	20.86	21.053	21.247	21.44	21.633	21.827	22.02	22.213	22.407	22.6	22.793	22.987	23.18	23.373	23.567	23.76	23.953	24.147	24.34	24.533	24.727	24.92	25.113	25.307
176	lab	N6747577	N7823548	27.833332000000002	0.0	14	lab N6747577	21.633	21.84	22.047	22.253	22.46	22.667	22.873	23.08	23.287	23.493	23.7	23.907	24.113	24.32	24.527	24.733	24.94	25.147	25.353	25.56	25.767	25.973	26.18	26.387	26.593	26.8	27.007	27.213	27.42	27.627
195	lab	N2601690	N124975	26.25	0.052631578899999996	19	lab N2601690	19.987	20.196	20.405	20.614	20.822	21.031	21.24	21.449	21.658	21.866	22.075	22.284	22.492	22.701	22.91	23.119	23.328	23.536	23.745	23.954	24.162	24.371	24.58	24.789	24.998	25.206	25.415	25.624	25.833	26.041
198	lab	N1113507	N8238657	26.42857	0.0	30	lab N1113507	22.529	22.659	22.789	22.919	23.049	23.179	23.309	23.439	23.569	23.699	23.829	23.959	24.089	24.219	24.349	24.479	24.609	24.739	24.869	24.999	25.129	25.259	25.389	25.519	25.649	25.779	25.909	26.039	26.169	26.299
199	lab	N1113507	N3936820	27.285713	1.0	30	lab N1113507	19.871	20.119	20.366	20.613	20.86	21.107	21.354	21.601	21.849	22.096	22.343	22.59	22.837	23.084	23.331	23.579	23.826	24.073	24.32	24.567	24.814	25.061	25.309	25.556	25.803	26.05	26.297	26.544	26.791	27.039
200	lab	N1113507	N661854	27.57143	0.0	30	lab N1113507	21.314	21.523	21.731	21.94	22.149	22.357	22.566	22.774	22.983	23.191	23.4	23.609	23.817	24.026	24.234	24.443	24.651	24.86	25.069	25.277	25.486	25.694	25.903	26.111	26.32	26.529	26.737	26.946	27.154	27.363
177	lab	N5745806	N1113507	24.222220999999998	0.9677419355	31	lab N5745806	18.056	18.261	18.467	18.672	18.878	19.083	19.289	19.494	19.7	19.906	20.111	20.317	20.522	20.728	20.933	21.139	21.344	21.55	21.756	21.961	22.167	22.372	22.578	22.783	22.989	23.194	23.4	23.606	23.811	24.017
165	lab	N63617	N2927853	23.9	0.0	17	lab N63617	17.6	17.81	18.02	18.23	18.44	18.65	18.86	19.07	19.28	19.49	19.7	19.91	20.12	20.33	20.54	20.75	20.96	21.17	21.38	21.59	21.8	22.01	22.22	22.43	22.64	22.85	23.06	23.27	23.48	23.69
201	lab	N7646124	N239923	27.42857	1.0	17	lab N7646124	20.014	20.261	20.509	20.756	21.003	21.25	21.497	21.744	21.991	22.239	22.486	22.733	22.98	23.227	23.474	23.721	23.969	24.216	24.463	24.71	24.957	25.204	25.451	25.699	25.946	26.193	26.44	26.687	26.934	27.181
203	lab	N7646124	N3814011	29.428573999999998	0.0	17	lab N7646124	22.786	23.007	23.229	23.45	23.671	23.893	24.114	24.336	24.557	24.779	25.0	25.221	25.443	25.664	25.886	26.107	26.329	26.55	26.771	26.993	27.214	27.436	27.657	27.879	28.1	28.321	28.543	28.764	28.986	29.207
159	lab	N3633749	N9315520	22.88889	0.0	13	lab N3633749	18.356	18.507	18.658	18.809	18.96	19.111	19.262	19.413	19.564	19.716	19.867	20.018	20.169	20.32	20.471	20.622	20.773	20.924	21.076	21.227	21.378	21.529	21.68	21.831	21.982	22.133	22.284	22.436	22.587	22.738
217	lab	N2539902	N5384883	38.0	0.0	1	lab N2539902	33.7	33.843	33.987	34.13	34.273	34.417	34.56	34.703	34.847	34.99	35.133	35.277	35.42	35.563	35.707	35.85	35.993	36.137	36.28	36.423	36.567	36.71	36.853	36.997	37.14	37.283	37.427	37.57	37.713	37.857
126	lab	N4538173	N2899302	21.545456	0.0	30	lab N4538173	15.818	16.009	16.2	16.391	16.582	16.773	16.964	17.155	17.345	17.536	17.727	17.918	18.109	18.3	18.491	18.682	18.873	19.064	19.255	19.445	19.636	19.827	20.018	20.209	20.4	20.591	20.782	20.973	21.164	21.355
43	lab	N8548928	N9935630	15.076923	0.4841269841	126	lab N8548928	11.246	11.374	11.502	11.629	11.757	11.885	12.012	12.14	12.268	12.395	12.523	12.651	12.778	12.906	13.034	13.162	13.289	13.417	13.545	13.672	13.8	13.928	14.055	14.183	14.311	14.438	14.566	14.694	14.822	14.949
127	lab	N4538173	N63617	21.72727	0.5666666667	30	lab N4538173	15.482	15.69	15.898	16.106	16.315	16.523	16.731	16.939	17.147	17.355	17.564	17.772	17.98	18.188	18.396	18.605	18.813	19.021	19.229	19.437	19.645	19.854	20.062	20.27	20.478	20.686	20.895	21.103	21.311	21.519
216	lab	N2539902	N3230902	34.666664000000004	1.0	1	lab N2539902	27.167	27.417	27.667	27.917	28.167	28.417	28.667	28.917	29.167	29.417	29.667	29.917	30.167	30.417	30.667	30.917	31.167	31.417	31.667	31.917	32.167	32.417	32.667	32.917	33.167	33.417	33.667	33.917	34.167	34.417
44	lab	N8548928	N2655524	15.692307000000001	0.2777777778	126	lab N8548928	11.331	11.476	11.622	11.767	11.912	12.058	12.203	12.348	12.494	12.639	12.785	12.93	13.075	13.221	13.366	13.512	13.657	13.802	13.948	14.093	14.238	14.384	14.529	14.675	14.82	14.965	15.111	15.256	15.402	15.547
45	lab	N8548928	N4538173	18.76923	0.2380952381	126	lab N8548928	13.531	13.705	13.88	14.055	14.229	14.404	14.578	14.753	14.928	15.102	15.277	15.452	15.626	15.801	15.975	16.15	16.325	16.499	16.674	16.848	17.023	17.198	17.372	17.547	17.722	17.896	18.071	18.245	18.42	18.595
125	lab	N4538173	N6476882	20.818182	0.0	30	lab N4538173	16.045	16.205	16.364	16.523	16.682	16.841	17.0	17.159	17.318	17.477	17.636	17.795	17.955	18.114	18.273	18.432	18.591	18.75	18.909	19.068	19.227	19.386	19.545	19.705	19.864	20.023	20.182	20.341	20.5	20.659
124	lab	N4538173	N3633749	20.636364	0.43333333329999996	30	lab N4538173	15.018	15.205	15.393	15.58	15.767	15.955	16.142	16.329	16.516	16.704	16.891	17.078	17.265	17.453	17.64	17.827	18.015	18.202	18.389	18.576	18.764	18.951	19.138	19.325	19.513	19.7	19.887	20.075	20.262	20.449
80	lab	N9935630	N9994475	18.444445	0.6721311475	61	lab N9935630	13.678	13.837	13.996	14.154	14.313	14.472	14.631	14.79	14.949	15.108	15.267	15.426	15.584	15.743	15.902	16.061	16.22	16.379	16.538	16.697	16.856	17.014	17.173	17.332	17.491	17.65	17.809	17.968	18.127	18.286
81	lab	N9935630	N7839123	19.777779000000002	0.3278688525	61	lab N9935630	14.678	14.848	15.018	15.188	15.358	15.528	15.698	15.868	16.038	16.208	16.378	16.548	16.718	16.888	17.058	17.228	17.398	17.568	17.738	17.908	18.078	18.248	18.418	18.588	18.758	18.928	19.098	19.268	19.438	19.608
17	labyrinth3	N8899359	N5316967	13.090910000000001	0.380952381	126	labyrinth3 N8899359	10.255	10.349	10.444	10.538	10.633	10.727	10.822	10.916	11.011	11.105	11.2	11.295	11.389	11.484	11.578	11.673	11.767	11.862	11.956	12.051	12.145	12.24	12.335	12.429	12.524	12.618	12.713	12.807	12.902	12.996
46	labyrinth3	N8858377	N4938213	15.166667000000002	0.6304347826	46	labyrinth3 N8858377	13.417	13.475	13.533	13.592	13.65	13.708	13.767	13.825	13.883	13.942	14.0	14.058	14.117	14.175	14.233	14.292	14.35	14.408	14.467	14.525	14.583	14.642	14.7	14.758	14.817	14.875	14.933	14.992	15.05	15.108
47	labyrinth3	N8858377	N1078752	16.5	0.36956521740000003	46	labyrinth3 N8858377	12.9	13.02	13.14	13.26	13.38	13.5	13.62	13.74	13.86	13.98	14.1	14.22	14.34	14.46	14.58	14.7	14.82	14.94	15.06	15.18	15.3	15.42	15.54	15.66	15.78	15.9	16.02	16.14	16.26	16.38
37	labyrinth3	N5316967	N8407469	16.571428	0.3541666667	48	labyrinth3 N5316967	12.757	12.884	13.011	13.139	13.266	13.393	13.52	13.647	13.774	13.901	14.029	14.156	14.283	14.41	14.537	14.664	14.791	14.919	15.046	15.173	15.3	15.427	15.554	15.681	15.809	15.936	16.063	16.19	16.317	16.444
36	labyrinth3	N5316967	N4592326	14.857142999999999	0.6458333333	48	labyrinth3 N5316967	13.357	13.407	13.457	13.507	13.557	13.607	13.657	13.707	13.757	13.807	13.857	13.907	13.957	14.007	14.057	14.107	14.157	14.207	14.257	14.307	14.357	14.407	14.457	14.507	14.557	14.607	14.657	14.707	14.757	14.807
18	labyrinth3	N8899359	N7730376	14.545454000000001	0.253968254	126	labyrinth3 N8899359	10.7	10.828	10.956	11.085	11.213	11.341	11.469	11.597	11.725	11.854	11.982	12.11	12.238	12.366	12.495	12.623	12.751	12.879	13.007	13.135	13.264	13.392	13.52	13.648	13.776	13.905	14.033	14.161	14.289	14.417
16	labyrinth3	N8899359	N8858377	12.727272	0.3650793651	126	labyrinth3 N8899359	10.245	10.328	10.411	10.494	10.576	10.659	10.742	10.825	10.907	10.99	11.073	11.155	11.238	11.321	11.404	11.486	11.569	11.652	11.735	11.817	11.9	11.983	12.065	12.148	12.231	12.314	12.396	12.479	12.562	12.645
92	library	N9747004	N8680754	19.0	1.0	36	library N9747004	15.625	15.738	15.85	15.962	16.075	16.188	16.3	16.412	16.525	16.638	16.75	16.862	16.975	17.088	17.2	17.312	17.425	17.538	17.65	17.762	17.875	17.988	18.1	18.212	18.325	18.438	18.55	18.662	18.775	18.888
93	library	N9747004	N1647237	24.0	0.0	36	library N9747004	19.875	20.012	20.15	20.288	20.425	20.562	20.7	20.838	20.975	21.112	21.25	21.388	21.525	21.662	21.8	21.938	22.075	22.212	22.35	22.488	22.625	22.763	22.9	23.038	23.175	23.312	23.45	23.588	23.725	23.862
53	library	N2272684	N4522484	16.166666	0.4814814815	27	library N2272684	12.467	12.59	12.713	12.837	12.96	13.083	13.207	13.33	13.453	13.577	13.7	13.823	13.947	14.07	14.193	14.317	14.44	14.563	14.687	14.81	14.933	15.057	15.18	15.303	15.427	15.55	15.673	15.797	15.92	16.043
91	library	N5610265	N1352798	20.0	1.0	1	library N5610265	16.775	16.882	16.99	17.098	17.205	17.312	17.42	17.528	17.635	17.742	17.85	17.958	18.065	18.172	18.28	18.388	18.495	18.602	18.71	18.818	18.925	19.032	19.14	19.248	19.355	19.462	19.57	19.678	19.785	19.892
90	library	N5610265	N7608419	19.0	0.0	1	library N5610265	15.925	16.028	16.13	16.233	16.335	16.438	16.54	16.642	16.745	16.848	16.95	17.053	17.155	17.258	17.36	17.462	17.565	17.668	17.77	17.873	17.975	18.078	18.18	18.282	18.385	18.487	18.59	18.692	18.795	18.898
55	library	N2272684	N1620555	22.166666	0.0	27	library N2272684	17.167	17.333	17.5	17.667	17.833	18.0	18.167	18.333	18.5	18.667	18.833	19.0	19.167	19.333	19.5	19.667	19.833	20.0	20.167	20.333	20.5	20.667	20.833	21.0	21.167	21.333	21.5	21.667	21.833	22.0
54	library	N2272684	N9747004	16.833332000000002	0.5185185185	27	library N2272684	13.033	13.16	13.287	13.413	13.54	13.667	13.793	13.92	14.047	14.173	14.3	14.427	14.553	14.68	14.807	14.933	15.06	15.187	15.313	15.44	15.567	15.693	15.82	15.947	16.073	16.2	16.327	16.453	16.58	16.707
39	library	N2153380	N3287714	16.0	0.2244897959	98	library N2153380	13.375	13.462	13.55	13.638	13.725	13.812	13.9	13.988	14.075	14.163	14.25	14.337	14.425	14.512	14.6	14.688	14.775	14.862	14.95	15.038	15.125	15.212	15.3	15.388	15.475	15.562	15.65	15.737	15.825	15.912
38	library	N2153380	N4822267	15.0	0.7755102040999999	98	library N2153380	12.525	12.608	12.69	12.772	12.855	12.938	13.02	13.102	13.185	13.268	13.35	13.432	13.515	13.598	13.68	13.762	13.845	13.928	14.01	14.093	14.175	14.258	14.34	14.422	14.505	14.587	14.67	14.752	14.835	14.918
28	library	N6857034	N54623	16.454544	0.0357142857	28	library N6857034	12.091	12.236	12.382	12.527	12.673	12.818	12.964	13.109	13.255	13.4	13.545	13.691	13.836	13.982	14.127	14.273	14.418	14.564	14.709	14.855	15.0	15.145	15.291	15.436	15.582	15.727	15.873	16.018	16.164	16.309
8	library	N9553169	N7453865	11.666667	0.7777777778	126	library N9553169	8.427	8.535	8.643	8.751	8.859	8.967	9.075	9.183	9.291	9.399	9.507	9.615	9.723	9.831	9.939	10.047	10.155	10.263	10.371	10.479	10.587	10.695	10.803	10.911	11.019	11.127	11.235	11.343	11.451	11.559
27	library	N6857034	N2272684	13.727272	0.9642857143000001	28	library N6857034	11.082	11.17	11.258	11.346	11.435	11.523	11.611	11.699	11.787	11.875	11.964	12.052	12.14	12.228	12.316	12.405	12.493	12.581	12.669	12.757	12.845	12.934	13.022	13.11	13.198	13.286	13.375	13.463	13.551	13.639
9	library	N9553169	N6857034	12.066667	0.22222222219999999	126	library N9553169	9.047	9.147	9.248	9.349	9.449	9.55	9.651	9.751	9.852	9.953	10.053	10.154	10.255	10.355	10.456	10.557	10.657	10.758	10.859	10.959	11.06	11.161	11.261	11.362	11.463	11.563	11.664	11.765	11.865	11.966
197	museum	N8235434	N1421546	26.25	0.0	1	museum N8235434	21.975	22.118	22.26	22.402	22.545	22.688	22.83	22.972	23.115	23.258	23.4	23.542	23.685	23.828	23.97	24.112	24.255	24.398	24.54	24.682	24.825	24.968	25.11	25.252	25.395	25.538	25.68	25.822	25.965	26.108
66	museum	N8999294	N7239905	19.785715	0.0107526882	93	museum N8999294	14.879	15.042	15.206	15.369	15.533	15.696	15.86	16.024	16.187	16.351	16.514	16.678	16.841	17.005	17.169	17.332	17.496	17.659	17.823	17.986	18.15	18.314	18.477	18.641	18.804	18.968	19.131	19.295	19.459	19.622
65	museum	N8999294	N3878259	17.5	0.3333333333	93	museum N8999294	13.107	13.254	13.4	13.546	13.693	13.839	13.986	14.132	14.279	14.425	14.571	14.718	14.864	15.011	15.157	15.304	15.45	15.596	15.743	15.889	16.036	16.182	16.329	16.475	16.621	16.768	16.914	17.061	17.207	17.354
64	museum	N8999294	N3583653	16.928572	0.6559139785	93	museum N8999294	12.171	12.33	12.489	12.647	12.806	12.964	13.123	13.281	13.44	13.599	13.757	13.916	14.074	14.233	14.391	14.55	14.709	14.867	15.026	15.184	15.343	15.501	15.66	15.819	15.977	16.136	16.294	16.453	16.611	16.77
183	museum	N2723957	N3515934	26.5	0.0	6	museum N2723957	22.075	22.222	22.37	22.518	22.665	22.812	22.96	23.108	23.255	23.402	23.55	23.697	23.845	23.992	24.14	24.288	24.435	24.582	24.73	24.877	25.025	25.172	25.32	25.468	25.615	25.762	25.91	26.057	26.205	26.352
196	museum	N8235434	N9086861	25.25	1.0	1	museum N8235434	19.287	19.486	19.685	19.884	20.082	20.281	20.48	20.679	20.877	21.076	21.275	21.474	21.672	21.871	22.07	22.269	22.468	22.666	22.865	23.064	23.263	23.461	23.66	23.859	24.057	24.256	24.455	24.654	24.852	25.051
205	museum	N4708138	N3592924	31.5	0.0	2	museum N4708138	26.175	26.352	26.53	26.708	26.885	27.062	27.24	27.418	27.595	27.772	27.95	28.127	28.305	28.482	28.66	28.838	29.015	29.193	29.37	29.548	29.725	29.902	30.08	30.258	30.435	30.612	30.79	30.968	31.145	31.322
204	museum	N4708138	N8137719	27.5	1.0	2	museum N4708138	22.775	22.932	23.09	23.248	23.405	23.562	23.72	23.877	24.035	24.193	24.35	24.508	24.665	24.822	24.98	25.138	25.295	25.452	25.61	25.768	25.925	26.083	26.24	26.398	26.555	26.712	26.87	27.028	27.185	27.342
29	museum	N599523	N8999294	14.368422	0.7380952381	126	museum N599523	10.626	10.751	10.876	11.001	11.125	11.25	11.375	11.499	11.624	11.749	11.874	11.998	12.123	12.248	12.373	12.497	12.622	12.747	12.872	12.996	13.121	13.246	13.371	13.495	13.62	13.745	13.869	13.994	14.119	14.244
30	museum	N599523	N1035050	15.736841	0.2619047619	126	museum N599523	11.521	11.662	11.802	11.943	12.083	12.224	12.364	12.505	12.645	12.786	12.926	13.067	13.207	13.348	13.488	13.629	13.769	13.91	14.051	14.191	14.332	14.472	14.613	14.753	14.894	15.034	15.175	15.315	15.456	15.596
182	museum	N2723957	N7639406	24.5	1.0	6	museum N2723957	20.375	20.512	20.65	20.788	20.925	21.062	21.2	21.338	21.475	21.612	21.75	21.888	22.025	22.162	22.3	22.438	22.575	22.712	22.85	22.988	23.125	23.263	23.4	23.538	23.675	23.812	23.95	24.088	24.225	24.362
71	museum	N1035050	N9773808	18.333332000000002	0.9666666667	30	museum N1035050	13.213	13.384	13.555	13.725	13.896	14.067	14.237	14.408	14.579	14.749	14.92	15.091	15.261	15.432	15.603	15.773	15.944	16.115	16.285	16.456	16.627	16.797	16.968	17.139	17.309	17.48	17.651	17.821	17.992	18.163
70	museum	N1035050	N9449477	17.8	0.033333333300000004	30	museum N1035050	13.78	13.914	14.048	14.182	14.316	14.45	14.584	14.718	14.852	14.986	15.12	15.254	15.388	15.522	15.656	15.79	15.924	16.058	16.192	16.326	16.46	16.594	16.728	16.862	16.996	17.13	17.264	17.398	17.532	17.666
108	museum	N9449477	N3228077	20.1	1.0	1	museum N9449477	14.88	15.054	15.228	15.402	15.576	15.75	15.924	16.098	16.272	16.446	16.62	16.794	16.968	17.142	17.316	17.49	17.664	17.838	18.012	18.186	18.36	18.534	18.708	18.882	19.056	19.23	19.404	19.578	19.752	19.926
110	museum	N9449477	N934578	28.9	0.0	1	museum N9449477	21.4	21.65	21.9	22.15	22.4	22.65	22.9	23.15	23.4	23.65	23.9	24.15	24.4	24.65	24.9	25.15	25.4	25.65	25.9	26.15	26.4	26.65	26.9	27.15	27.4	27.65	27.9	28.15	28.4	28.65
